"X20240721_SIA_Batch2_Control_rep1.raw","X20240723_SIA_Batch3_Control_rep1.raw","X20240725_SIA_Batch4_Control_rep1.raw","X20240727_SIA_Batch5_Control_rep1.raw","X20240729_SIA_Batch6_Control_rep1.raw","X20240801_SIA_Batch7_Control_rep1.raw","X20240803_SIA_Batch8_Control_rep1.raw","X20240804_SIA_Batch9_Control_rep1.raw","X20240806_SIA_Batch10_Control_rep1.raw","X20240809_SIA_Batch1_Control_rep1.raw","X20240721_SIA_Batch2_Control_rep2.raw","X20240723_SIA_Batch3_Control_rep2.raw","X20240725_SIA_Batch4_Control_rep2.raw","X20240727_SIA_Batch5_Control_rep2.raw","X20240729_SIA_Batch6_Control_rep2.raw","X20240801_SIA_Batch7_Control_rep2.raw","X20240803_SIA_Batch8_Control_rep2.raw","X20240804_SIA_Batch9_Control_rep2.raw","X20240806_SIA_Batch10_Control_rep2.raw","X20240809_SIA_Batch1_Control_rep2.raw","X20240721_SIA_Batch2_Control_rep3.raw","X20240723_SIA_Batch3_Control_rep3.raw","X20240725_SIA_Batch4_Control_rep3.raw","X20240727_SIA_Batch5_Control_rep3.raw","X20240729_SIA_Batch6_Control_rep3.raw","X20240801_SIA_Batch7_Control_rep3.raw","X20240803_SIA_Batch8_Control_rep3.raw","X20240804_SIA_Batch9_Control_rep3.raw","X20240806_SIA_Batch10_Control_rep3.raw","X20240809_SIA_Batch1_Control_rep3.raw","X20240721_SIA_Batch2_Control_rep4.raw","X20240723_SIA_Batch3_Control_rep4.raw","X20240725_SIA_Batch4_Control_rep4.raw","X20240727_SIA_Batch5_Control_rep4.raw","X20240729_SIA_Batch6_Control_Rep4.raw","X20240801_SIA_Batch7_Control_rep4.raw","X20240803_SIA_Batch8_Control_rep4.raw","X20240804_SIA_Batch9_Control_rep4.raw","X20240806_SIA_Batch10_Control_rep4.raw","X20240809_SIA_Batch1_Control_rep4.raw","X20240721_SIA_Batch2_Control_rep5.raw","X20240723_SIA_Batch3_Control_rep5.raw","X20240725_SIA_Batch4_Control_rep5.raw","X20240727_SIA_Batch5_Control_rep5.raw","X20240729_SIA_Batch6_Control_rep5.raw","X20240801_SIA_Batch7_Control_rep5.raw","X20240803_SIA_Batch8_Control_rep5.raw","X20240804_SIA_Batch9_Control_rep5.raw","X20240806_SIA_Batch10_Control_rep5.raw","X20240809_SIA_Batch1_Control_rep5.raw","X20240729_SIA_Batch6_PooledControl_rep1.raw"
347864420.7,350800647.1,396554351.3,355291913,361690099,297639140.2,338608192.3,277330122.8,197090886.4,401669350.3,350969513.9,338665951.6,312821015.9,222832354.2,197463313.2,280870193,334992688.3,295265106.4,310472454,404907495.7,377888394.2,429081859,369681624.8,345178360.3,299080666.5,355612850.9,328634012,334669377.6,334519515,421491983.8,389465222.7,382573536.6,385338192.4,352956327.5,287429127,323585436.9,312439833.2,278843169.6,339483995.3,407666589.4,375921057,415235990.2,366781639.4,356339092.5,278450093.8,348548756.1,309009608.7,331381203.4,338209588.2,403735890.4,452224539.3
17415940.76,17139684.68,9822595.312,21804768.83,18027506.38,15990937.94,19175352,12041840.3,22313783.24,16976908.08,13489441.93,16615098.36,15384162,18770707.59,15974389.15,10719552.84,21073371.69,12365257.74,25129664.19,15889890.49,13121829.4,12404971.42,19548949.49,16359386.12,14013871.96,17156804.27,14391108.84,14980230.84,21495360.79,18023766.87,16911362.62,18466673.55,19961067.26,12608544.38,16058852.09,12370614.98,11548964.33,9943451.143,24397857.19,17363595.74,14742577.47,18219883.16,15734889.93,15571108.55,10316883.68,14824380.57,13681233.04,13996024.61,27038989.48,16736331.54,32128463.51
3022859.449,2000415.063,4005937.623,3634198.602,4153979.902,2868149.099,3913398.713,2472760.022,9629484.057,4288029.854,4528457.261,3808493.23,3759281.004,4241761.937,3261885.37,3914593.5,3858672.565,2943517.056,5058300.564,4317365.729,3572019.278,5000922.643,3163555.594,4331870.143,3618783.62,3648940.792,3084726.438,3502693.053,8977361.454,3924566.611,4235162.731,4094141.172,3974690.971,4474330.781,3234430.856,3750450.772,3139375.098,2683712.439,7484317.606,2987255.915,4062384.415,4148826.043,3448181.049,3927737.293,2661728.998,3792513.791,2913843.994,4303339.106,6481654.909,2976926.981,5385119.084
61103232.67,79327861.25,89348539.42,84205257.32,89396106.21,67054485.5,97206175.1,66021598.53,93851183.18,94395910.6,78062389.16,85434157.45,85386709.51,91383343.11,77961456.76,72020604.18,94232183.86,62531768.65,84281216.95,97267465.34,83462703.87,84613661.79,79235308.43,88230153.53,80134484.91,76986874.85,61791531.65,78553499.24,86424411.05,80205663.33,86877271.16,77378619.67,88181619.18,85764287.3,88724943.74,89969563.1,58537091.66,80592292.45,92037526.62,79288840.12,79714418.13,81133008.28,82520707.26,85843395.58,72643567.15,94460864.23,67545967.43,97124521.59,96044847.02,66574565.78,89292008.03
7747944.36,8115715.074,8745651.248,11787769.96,8414397.868,6359159.809,8333709.694,7134529.671,10589587.69,7011343.505,7367888.335,8151737.43,8757781.891,9530598.379,7342072.907,6991100.901,9773432.469,6635269.462,8757733.168,9014775.902,7845312.615,8660392.751,8805106.315,8883617.867,8498663.629,7849514.632,7774795.178,7986383.852,7845925.458,6138616.884,9470988.631,7357057.671,8992256.206,8806533.67,8828653.102,10108803.83,5023618.88,8528945.358,8080071.71,6534967.341,7483832.141,7864950.291,6983367.96,7613126.977,6809102.202,9255670.217,7136132.191,9230087.705,9384555.708,4631156.84,14650861.11
14223211.74,15496228.18,18036018.66,17194511.53,17608110.08,19704172.51,19410486.02,13980258.27,17683310.28,7608274.846,15155319.92,16273377.72,16982601.3,17975797.54,14680110.52,6600089.101,20129935.14,14349637.83,15798195.47,6058848.098,14935721.05,12850723.75,16352974.88,17640072.56,14733303.34,3373528.19,19028009.64,16474845.69,13181534.01,3162235.84,13490354.26,8948762.281,14491054.88,14110593,14113782.27,13219989.88,12663132.4,14241181.36,12380722.66,2282381.839,9604670.59,7235080.767,10735567.38,9807170.633,10005765.33,15272484.44,10559779.54,12991784.25,11271104.65,594017.775,25001005.93
13435663.32,15021785.46,17706925.48,16220881.55,22481324.43,12029003.19,18152669.93,11030744.26,17497040.26,17080477.25,21903524.04,15414502.81,23054032.96,15795904.81,12908687.39,14870493.68,22321742.31,12041270.58,24928928.85,17864176.8,18345026.83,15140567.33,17206405.35,16382585.51,15466985.11,18206488.42,10365546.91,22190352.96,16406705.29,16935414.53,16229744.8,15859368.18,16271117.65,16801059.8,18102243.95,16150331.61,10716456.01,13431954.46,17598318.33,15229720.63,16045686.45,16456089.81,14262456.73,15757802.44,10457666.37,15044737.84,12204164.77,17281852.88,21191453.66,16245565.41,16255418.85
25150030.2,27243939.3,32375188.07,36992415.72,32878138.78,23581196.14,30653888.86,26207337.07,26904863.89,1922182.994,22520631.32,28678772.61,33295644.81,37715048.29,24825997.06,2912812.453,33885334.15,24009196.81,17115203.04,1790868.543,21200321.98,11133732.38,24540196.81,30273484.6,14350136.39,2716783.862,20203173.17,16301740.74,11093996.84,1105114.991,15221998.15,4460754.028,22485875.52,13696201.76,10727043.78,16678885.63,9706418.344,10844433.31,7946217.087,1958340.469,6764556.891,4009271.544,8919282.732,4932575.876,4404795.591,12446975.78,6024061.815,6125220.64,4357136.349,1554062.748,49337131.11
254201.438,215583.45,256501.807,233533.417,1691899.855,862231.008,2040425.363,816657.012,1235708.638,461828.008,223206.167,202484.248,577407.181,1434266.781,2191552.516,1102113.842,2137443.196,1376314.015,1009567.101,1027229.45,154550.82,149990.859,319326.187,931975.367,573362.782,1630789.713,1054686.915,1057985.038,1130864.696,913812.11,126043.547,113273.63,918842.895,886389.465,785513.009,1138224.49,1517161.25,1070111.134,1687137.567,2005258.456,105191.406,342410.482,183665.306,505018.073,612771.557,985827.482,893377.042,597597.217,776401.349,2092959.154,2058841.059
70143273.48,66025782.49,70236119.56,81684647.91,83056627.87,66371604.77,93703943.86,55195413.34,89262847.15,69457330.91,66259567.81,71141236.32,77170570.34,80189627.23,71774837.27,45967973.54,95003905.95,62279536.63,88079057.69,60960204.25,69146590.85,59510610.91,70677943.51,81177066.09,69765077.55,55579439.53,62014448.73,69236572.65,83797958.09,57161891.48,65780406.13,49027167.71,70637575.34,77766197.21,74160001.45,80215705.3,55296601.8,72568918.22,79464250.77,49474044.61,49195043.19,45060108.75,59412941.94,69142056.71,68706596.16,86182624.67,69374337.08,92258321.93,77616951.42,32054762.37,93691085.53
17312674.32,16936638.68,20635870.29,19110426.04,18444087.09,21058854.26,20995117.62,18327198.07,20998258.38,6907880.582,15921484.01,16897976.43,18675882.63,20443309.19,15122362.81,6307263.339,21198241.22,16181586.54,18022462.96,5106061.898,16274540.1,11980725.04,15636096.95,17593228.16,14756387.88,2947897.999,19121721.43,15913643.99,14027203.07,2175417.892,13681835.94,9598801.985,16806747.3,13941827.76,13937751.03,12873718.24,9530802.268,14815411.11,12043505.83,1754850.138,9919178.781,6481135.905,11351228.93,9812158.336,10073652.33,14727195.34,10710345.39,13819120.61,11492376.46,594119.354,26784920.42
24443996.43,21092180.45,27428632.47,34612638.79,45380187.71,38244360.87,47846752.86,39752157.72,43010725.24,3132292.722,21044283.92,22392541.97,27494343.86,36078043.04,33619116.8,4312601.964,44205549.42,34650074.2,26861832.89,3281715.019,16295558.96,12558862.77,23040705.12,33622003.26,22689965,3254230.374,32416901.27,30196140.28,21290565.43,1832185.544,12827606.67,3962215.866,21310613.84,16226022.71,16209149.46,18967808.72,21307956.33,18438439.81,13673372.72,3016638.418,6402720.276,4344939.891,9991742.058,6442656.917,6950597.822,16537803.34,10585526.26,9826153.792,7693573.556,1795653.992,56055630
27856436.91,27464492.21,35391894.72,33983356.13,34829649.96,32842781.96,32770961.22,34665236.62,32857803.2,33585663.32,32176211.4,35112196.11,34615120.96,35398229.92,35165200.74,31666103.59,41584871.26,33131858.67,34341796.84,29431646.77,27079589.89,38521553.96,36930780.9,37755945.17,31314108.62,30420693.67,30645437.98,38297890.86,28881648.12,25211904.73,37936597.99,38097397.82,38230935.63,38687280.88,42351798.35,32103832.5,31428964.73,36880663.52,29575443.31,20909393.85,34129643.72,34189166.96,36818240.37,36016348.77,35481634.88,34941299.86,36121563.5,35746655.28,33754048.54,19013569.52,63539579.18
49995677.41,49594091.3,51619331.41,56559762.09,46841122.31,45855022.5,54880963.19,43929187.41,53262122.39,9531305.826,46745082.58,51049368.99,55823189.47,59634024.48,37505297.71,8505611.552,52222471.42,40377236.96,40497028.13,5738045.67,45558363.31,36637798.55,44042276.63,48734210.19,31546117.42,4036068.611,36462695.86,35070980.07,36738506.64,2220866.606,39119802.56,18603236.08,43117519.31,31661314.33,29734299.62,31455738.54,21214130.67,27188246.03,26440715.22,1818024.904,24906999.69,14946544.19,28919622.51,16261139.31,16775218.12,30801407.36,21942956.6,26075130.05,22782320.66,754614.031,48258395.55
1035882.334,1393541.935,2011566.54,1967941.144,2185913.842,2043449.794,2298252.008,2255783.342,2062290.132,276432.725,1339578.53,1478087.239,1734211.555,2742802.165,1651116.149,156063.394,2130154.844,927982.188,1817088.42,210301.781,822804.252,204350.393,1344002.118,1702611.307,1171025.438,240185.524,1971543.773,998919.626,681348.147,191939.483,613676.573,222679.595,1305300.574,858638.096,614855.125,1039798.715,716627.636,874919.46,634916.008,212246.107,524767.441,205899.327,207567.608,674335.082,329253.013,1231931.102,616350.17,462162.487,532230.936,154065.973,2860353.041
8901108.323,3419357.688,8939493.957,4618447.193,11880452.69,3350308.632,3294583.346,5003095.875,2773935.696,17907254.3,9073495.029,7910924.4,15848021.39,17543651.99,17200964.8,19882590.7,10617710.22,9686460.828,7214699.204,13112082.93,13389551.83,13354068.74,13520001.57,18581894.75,13395137.44,15350245.84,9459163.741,12988146.95,9783306.753,10314314.91,22103039.33,16687101.76,16323574.06,12446532.89,18393597.67,12231609.75,10426851.73,14314355.8,14766969.83,14254905.47,21436997.7,27440279.61,16416805.27,14243111.12,16716071.98,13977619.72,14201273.18,13785845.3,12706736.31,9675933.027,8367803.301
3861192.995,1550563.229,4510626.447,1565069.113,2916397.675,2534588.419,2644178.901,2187342.427,1347855.033,6536834.191,3759557.106,1085004.665,7402251.718,4528635.233,7122207.107,7603892.746,4544285.636,5832915.97,1370301.631,5858263.64,6246435.645,6478756.903,6454415.193,9161971.958,5291235.117,6547357.891,3688499.163,5681600.782,4466291.363,4779351.794,9225529.642,8244519.993,9172502.044,5025640.839,6570117.388,5015359.397,6041977.217,6374505.737,6973887.012,4596095.503,9918536.805,12441653.81,7105707.832,5641934.838,7500891.654,6310953.793,3801263.206,5462324.025,6565980.064,5811575.349,4573638.383
695207.628,329054.511,710389.232,258174.556,1113468.268,555886.285,578423.473,467220.214,235785.285,1809196.491,719926.411,435828.097,1545052.953,1944423.524,745523.428,1657970.557,1137902.273,1001911.661,696510.274,903490.071,1582965.733,1372197.144,1438661.459,1081490.181,699447.294,1256731.723,497854.398,1416926.808,766769.307,972291.111,1016519.66,1447259.416,1876402.433,1256847.508,944596.441,1116594.836,1294255.69,1465637.607,645317.829,1115472.443,1853003.988,2501380.845,705649.823,1065065.865,1335494.448,1409172.967,1052301.329,1130047.731,1550543.136,807504.183,986549.719
221174.164,193561.945,288348.469,232674.513,623704.991,308322.781,447699.663,279470.133,204291.668,439001.952,266781.105,206161.455,488404.771,488959.771,995030.038,507921.425,252358.673,562686.93,230235.513,246338.305,588280.875,512180.161,349997.519,460414.273,499660.911,463637.064,346712.175,467566.043,565102.477,357219.339,552652.474,453621.51,769939.176,340422.348,660795.207,572481.789,684993.466,457465.845,521725.779,317069.891,390715.735,577723.919,716235.623,490414.906,470007.427,283960.081,328505.901,611366.711,620512.616,312459.903,291042.752
14185872.47,7668022.325,13256755.82,9165740.01,17259868.59,8562517.762,12495332.09,9376398.06,8649157.537,19623218.42,12769928.01,11609498.59,18085229.27,19483267.7,17626721.38,19159641.2,16020605.1,15675985.61,14943916.57,14451512.69,17514226.99,16921878.84,16110714.13,18222385.78,17643294.02,15352014.9,16299477.77,19586354.73,16406551.89,13403910.15,18521273.72,18868329.41,20207237.83,12757962.75,16947328.9,10580139.51,16396293.38,19371085.11,19005303,16163673.72,20623330.76,25337569.7,18370374.54,14520491.85,17657826.72,16155772.88,15779237.41,18111562.72,20311575.68,13340874.56,18447263.02
5033137.12,3126778.927,6281065.902,3913594.115,7824519.01,4136258.125,3885339.263,3548846.733,3104822.267,7519475.216,4970850.906,5105657.293,7766612.512,8691181.741,9065048.132,8778972.11,6110340.482,4638186.07,4250313.788,4274202.002,6985090.172,8177720.692,6918402.942,8355077.633,7680399.453,7726445.904,5998378.26,5543210.164,6885531.486,3651372.116,7707784.607,8624496.366,9657867.366,6079795.782,7369419.812,6277938.436,8191086.881,7405226.537,4882865.563,4190159.515,9332996.31,11982937.05,9036971.488,5704704.261,8647608.967,7064843.345,6238388.947,8806859.494,6943266.984,3709090.273,7336112.183
184410720.9,96258947.96,202469057,79231363.75,266057098.4,149434495.1,160536169.9,125069829.9,106866056,301505129.4,163207274,155650535.1,282489612.9,259524642.9,210915258.5,215655549,183260896.2,188340478.9,209271568.8,226849990.5,258622139,247848537.4,242128888.1,221955258.4,229533566.4,263187360.5,208974327.4,306152461.5,237817813.9,177356005.4,286091326.2,274385044.5,316587498,150954186.4,223299253.3,194901923.9,249336624,313877067.1,303361928.7,214197141.6,316508262.4,331775179.9,264924680.2,174668249.1,227512375,249367731.6,184515164.8,302482395.8,257914923.8,181453258.1,183045967.6
5582062.021,2901782.711,7449405.526,4220205.227,9817922.915,5240661.378,3435790.751,3627602.557,2584051.277,6492015.444,7595699.29,5377244.704,12209198.7,12906370.33,15536595.1,17924482.52,9699091.993,5256415.861,6195165.264,6012330.239,10485356.33,10359941.57,10251882.93,13546389.21,11558681.91,13348792.88,7150349.132,7077406.798,8323149.395,3637373.01,15068284.41,13279896.17,11632134.56,8981808.88,14451744.27,9923557.323,12511060.14,12093004.23,12381725.22,5018079.795,15825962.96,20855781.94,12456955.58,9422056.215,10609912.68,13507094.72,6024735.996,9933832.539,5343888.556,4169707.46,10033559.97
86756795.53,38513509.16,99685874.48,47528197.19,108690143,78784513.28,66820531.31,54919104.53,29595141.17,107078969.8,87471068.91,69420469.77,121277369.3,106979316.7,106835776.6,96039968.89,84716761.86,81523224.42,69416101.89,86451429.83,120735957.9,108853570,117775405.7,107304623.6,93345973.64,99010248.47,79493345.46,106967252,85745053.13,57184587.52,136342955.9,119901851.1,135603982.7,95083937.93,100500325.4,74774673.56,79136134.12,105521681.6,118483638.3,82542045.51,82904170.9,130536061.2,115628192.9,86426784.91,116994518.5,94553512.88,80932682.27,113044472.8,101714281.9,69130612.14,81032846.79
1046296.643,297643.04,1311664.072,488066.701,1244842.534,414574.083,719122.429,477311.349,318899.703,721084.816,1103547.633,475235.551,1745906.174,1700376.837,320717.99,2113939.04,1236128.718,950724.707,780155.45,804444.989,1700406.843,943021.6,1556822.517,1493594.101,1510632.077,1843457.744,427114.115,1331362.216,555108.036,722226.052,2238066.526,1817798.734,1968994.787,1190711.465,1893854.314,985013.446,1734110.924,1440764.057,898734.216,822542.865,2081558.946,3129383.306,1729219.356,1097989.72,1606669.899,1420720.205,1085366.183,1443688.157,724408.819,717414.37,791556.948
3574518.291,2364672.952,3112535.765,2375067.567,4079956.621,2070046.007,2208325.765,2926487.237,1033193.251,4638942.266,3368332.906,2946065.215,4594385.522,4248331.229,4391148.324,4099303.975,4188682.349,3672190.477,3436947.389,3768099.515,3897294.505,3908856.16,3978437.026,5053307.24,3993827.153,4897037.167,3889427.218,5008571.472,3590610.05,2505860.071,5668261.884,5541904.482,5158671.197,3417266.971,4491930.338,3578620.841,4768468.84,5925834.929,5072732.351,3509122.574,4819493.058,7742690.025,4727027.224,3664996.109,4586088.917,4502666.084,3799140.142,4117206.174,4769113.073,2820224.49,2695958.303
277099303.5,165084525.9,255416848.1,192594879.6,314992473.7,222286682.7,242311483.7,189609751.5,161036532.4,384874971.3,263566795.8,239237413.6,366015364.9,366713977.4,332188292.6,350130724.1,320681976.5,280911757.8,274535730.3,287699067.7,329741528.7,349330318.9,333926833.8,367072125.4,307933432.2,287095173.5,304285792.5,388016784.4,298116933.9,259581838.7,382777243,373320942.9,392846636.7,262956380.8,298296765.7,283090586.6,312907173.4,369115501.7,363626466.7,305939644.9,405427295.9,495440650.4,344947737.4,292299892.8,344781891.1,327224915.7,302891355.3,350034010.4,384419684.7,265773745.2,296136661.5
21577394.41,14459191.51,24692207.4,17378662.29,28431158.44,17670145.01,18679225.41,16650094.55,12693165.01,33023230.9,22484427.86,20620451.89,31581358.54,35968542.37,31211626.49,31497014.71,28517325.72,26842827.76,21786465.42,19963627.73,30407454.89,33487192.75,30436048.34,31991681.13,31162344.79,29302377.8,24978678.15,29372312.27,26876608.87,11182655.83,34000691.76,33218787.24,42675493.58,27515878.71,27323277.02,26940656.89,34282649.64,36521416.11,32901365.74,21925361.66,43006956.07,52485205.19,33876290.02,25546518.57,29164853.62,29820500.75,27699981.21,34317827.7,32351741.37,18666441.05,25728303.31
16500101.35,13107902.72,17608960.85,12204117.43,15752729.51,16755045.04,11257130.25,16960706.48,6467309.85,31864890.6,27075598.73,14470221.75,21798050.19,37130357.21,34214473.88,33286091.1,26361830.42,27595573.58,25482242.52,12556858.97,23341419.08,35481259.67,30512702.78,21615806.2,17949494.83,16142606.57,26555107.33,35030648.74,27896145.53,12658903.33,22087887.64,37917783.11,41311577.46,16726822.88,30128194.09,16750987.88,36112846.18,32595849.83,34474886.93,26039381.88,44740656.06,50320402.9,22357217.45,29401513.86,18454863.13,24103957.43,25763161.77,31703593.89,32004800.7,13908071.85,23593416.84
1038456011,594750939.7,1104066044,680511303.5,1320215992,679214544.2,824249376.6,651621722.6,527180940.1,1620595070,910529198.8,931394141.4,1493626316,1376659715,1162386167,1158477987,1068480940,1004037400,1100625669,1202106311,1409205045,1460014311,1280861613,1232395722,1161839532,1291450646,1137360988,1512828542,1185795243,944524257.1,1519550481,1613935721,1731094700,894525404.9,1111527127,1027490292,1323285247,1499748133,1526317954,1138143556,1681169021,1930108427,1518726999,972001224.8,1268236266,1214189690,978855976.9,1527695991,1337474343,985074718.6,1036236920
6849385.32,2720814.419,6816640.283,2238007.116,8328840.358,4391618.383,5144671.781,3842015.988,1952638.97,9563880.315,7368629.041,5848127.099,12376577.51,13078939.33,12821238.36,15474174.2,7952373.016,7644532.429,6155157.597,6587656.905,10855468.39,9954141.836,10682254.33,10471177,11122941.26,9889162.109,7417103.059,9456288.314,7577612.391,4872175.255,14922373.92,13187439.51,14187041.37,8903977.907,9373165.724,9968523.667,10223873.48,5982366.252,11200610.64,6690541.584,15695615.74,22154174.21,12638138.39,10122594.33,13536254.42,11066275.11,10710201.61,10052642.22,9939763.096,4529048.466,11323176.46
4040652.78,1931101.254,2509609.556,2207649.485,4132934.942,3126107.147,2982467.499,2362896.067,490809.077,3315752.455,3914273.893,3222101.105,7090647.545,6926405.192,6374765.409,5976256.146,4607702.984,4643344.321,3102157.443,1983100.287,5762515.562,5346657.114,6514454.092,6770617.733,5811429.944,5479945.536,4269399.739,4946815.4,3750208.458,2452742.025,7344271.546,7552416.931,8630640.986,2922836.397,7382826.878,4220888.516,2569893,3646195.8,6424461.453,2909311.814,8376272.69,10562915.82,7278411.499,4415564.38,7277063.205,5578788.553,4880866.522,5463193.62,6115759.29,2966535.084,3780445.29
