"variable","median_abundance"
"X20240808_SIA_Batch2_36.raw",20.0659988409391
"X20240729_SIA_Batch6_51.raw",20.9987054147438
"X20240801_SIA_Batch7_2.raw",21.1851639310591
"X20240806_SIA_Batch10_102.raw",21.2568404768213
"X20240729_SIA_Batch6_16.raw",21.5061089608751
"X20240809_SIA_Batch1_5.raw",21.8481353366859
"X20240729_SIA_Batch6_58.raw",22.0177574984554
"X20240809_SIA_Batch1_1030.raw",22.381354907494
"X20240721_SIA_Batch2_27.raw",22.4209385484942
"X20240808_SIA_Batch1_9.raw",22.4374122178197
"X20240801_SIA_Batch7_1112_2.raw",22.4882893809429
"X20240729_SIA_Batch6_2011_101.raw",22.5678128212977
"X20240808_SIA_Batch1_1030.raw",22.6782864941026
"X20240809_SIA_Batch1_100.raw",22.6955820102901
"X20240725_SIA_Batch4_97.raw",22.7682133646393
"X20240803_SIA_Batch8_NC6.raw",22.8375630031173
"X20240729_SIA_Batch6_NC3.raw",22.857981417399
"X20240801_SIA_Batch7_2010_11.raw",22.8590109242537
"X20240803_SIA_Batch8_19.raw",22.8878398545043
"X20240723_SIA_Batch3_44.raw",22.9533349664455
"X20240721_SIA_Batch2_93.raw",22.9588655139603
"X20240801_SIA_Batch7_NC8.raw",23.0010665014855
"X20240723_SIA_Batch3_99.raw",23.0055694421657
"X20240806_SIA_Batch10_73.raw",23.0069956751649
"X20240804_SIA_Batch9_39.raw",23.0078970074944
"X20240729_SIA_Batch6_1036.raw",23.0128664831362
"X20240803_SIA_Batch8_87.raw",23.0253525873256
"X20240803_SIA_Batch8_23.raw",23.0439614778162
"X20240723_SIA_Batch3_NC5.raw",23.0482925806805
"X20240729_SIA_Batch6_54.raw",23.0532207389925
"X20240808_SIA_Batch1_43.raw",23.0609536450057
"X20240723_SIA_Batch3_67.raw",23.0632964629812
"X20240809_SIA_Batch1_1177.raw",23.127566271475
"X20240729_SIA_Batch6_42.raw",23.1369624104065
"X20240727_SIA_Batch5_1147_2.raw",23.139906681733
"X20240727_SIA_Batch5_NC4.raw",23.1936853651513
"X20240721_SIA_Batch2_2005_66.raw",23.2133826672285
"X20240808_SIA_Batch1_100.raw",23.2246960049695
"X20240806_SIA_Batch10_49.raw",23.2305171309164
"X20240809_SIA_Batch1_1002.raw",23.2415826518528
"X20240721_SIA_Batch2_1187.raw",23.2645825825292
"X20240809_SIA_Batch1_1130.raw",23.2973930997231
"X20240806_SIA_Batch10_1022.raw",23.3012243844085
"X20240727_SIA_Batch5_52.raw",23.3062795394354
"X20240806_SIA_Batch10_66.raw",23.313110184033
"X20240803_SIA_Batch8_1176.raw",23.3258210353284
"X20240809_SIA_Batch1_1006.raw",23.3325978159759
"X20240729_SIA_Batch6_1034.raw",23.3371421374675
"X20240721_SIA_Batch2_65.raw",23.3381085546178
"X20240806_SIA_Batch10_1038.raw",23.3531630961123
"X20240727_SIA_Batch5_34.raw",23.3540721903671
"X20240804_SIA_Batch9_18.raw",23.3590004117159
"X20240803_SIA_Batch8_NC9.raw",23.3620087638194
"X20240806_SIA_Batch10_NC19.raw",23.368668665404
"X20240809_SIA_Batch1_98.raw",23.3720104340905
"X20240723_SIA_Batch3_NC17.raw",23.3748653002555
"X20240727_SIA_Batch5_85.raw",23.3767480391315
"X20240808_SIA_Batch1_90.raw",23.3856815300672
"X20240723_SIA_Batch3_1182.raw",23.4000612933072
"X20240804_SIA_Batch9_NC7.raw",23.4127964198915
"X20240721_SIA_Batch2_40.raw",23.4230191402195
"X20240806_SIA_Batch10_H17.raw",23.4298606560024
"X20240725_SIA_Batch4_1130_2.raw",23.4410217908817
"X20240801_SIA_Batch7_1141.raw",23.4415695579028
"X20240727_SIA_Batch5_1068.raw",23.4469008054351
"X20240729_SIA_Batch6_1085.raw",23.4611865616806
"X20240808_SIA_Batch1_33.raw",23.4628097778027
"X20240801_SIA_Batch7_1136.raw",23.4713632533623
"X20240809_SIA_Batch1_92.raw",23.4755496331744
"X20240729_SIA_Batch6_86.raw",23.4933797842014
"X20240723_SIA_Batch3_82.raw",23.5046161784939
"X20240803_SIA_Batch8_1154_2.raw",23.5129923940495
"X20240809_SIA_Batch1_1111_2.raw",23.5139661921826
"X20240721_SIA_Batch2_57.raw",23.5258824638258
"X20240803_SIA_Batch8_1034_2.raw",23.5259091351298
"X20240803_SIA_Batch8_1032_2.raw",23.5304093872478
"X20240725_SIA_Batch4_1186.raw",23.5344276219998
"X20240803_SIA_Batch8_64.raw",23.5366451785654
"X20240801_SIA_Batch7_45.raw",23.5419068440965
"X20240803_SIA_Batch8_101.raw",23.5441809984489
"X20240801_SIA_Batch7_1027.raw",23.545087197141
"X20240729_SIA_Batch6_1119.raw",23.5470242900114
"X20240809_SIA_Batch1_1016.raw",23.5494220042682
"X20240806_SIA_Batch10_1086.raw",23.5507217390508
"X20240804_SIA_Batch9_1158_2.raw",23.5584841300587
"X20240803_SIA_Batch8_71.raw",23.5644189644766
"X20240723_SIA_Batch3_88.raw",23.5700507594556
"X20240725_SIA_Batch4_79.raw",23.5759870369504
"X20240727_SIA_Batch5_1189.raw",23.5797706947995
"X20240801_SIA_Batch7_6.raw",23.5798959175554
"X20240725_SIA_Batch4_3.raw",23.5827376739431
"X20240804_SIA_Batch9_NC2.raw",23.6146133053671
"X20240801_SIA_Batch7_H27.raw",23.6160754314847
"X20240803_SIA_Batch8_84.raw",23.6284786301489
"X20240723_SIA_Batch3_H13.raw",23.6323043341382
"X20240801_SIA_Batch7_1135.raw",23.63263739677
"X20240804_SIA_Batch9_H7.raw",23.6343782553943
"X20240801_SIA_Batch7_1175.raw",23.6428433797981
