"Batch","variable","sample_median"
"Batch1","X20240808_SIA_Batch1_100.raw",23.32501882924
"Batch1","X20240808_SIA_Batch1_1016.raw",24.1391116979184
"Batch1","X20240808_SIA_Batch1_1030.raw",22.778609318373
"Batch1","X20240808_SIA_Batch1_1041.raw",23.7869452424141
"Batch1","X20240808_SIA_Batch1_1104.raw",24.1043225921755
"Batch1","X20240808_SIA_Batch1_1109_2.raw",24.0956554757273
"Batch1","X20240808_SIA_Batch1_2012_7.raw",24.1342356189078
"Batch1","X20240808_SIA_Batch1_33.raw",23.5631326020732
"Batch1","X20240808_SIA_Batch1_43.raw",23.1612764692762
"Batch1","X20240808_SIA_Batch1_50.raw",24.5291937694832
"Batch1","X20240808_SIA_Batch1_9.raw",22.5377350420901
"Batch1","X20240808_SIA_Batch1_90.raw",23.4860043543377
"Batch1","X20240808_SIA_Batch1_92.raw",23.8527090289419
"Batch1","X20240808_SIA_Batch1_NC16.raw",23.9387533610203
"Batch1","X20240809_SIA_Batch1_1002.raw",23.3419054761233
"Batch1","X20240809_SIA_Batch1_1003.raw",23.8146223682381
"Batch1","X20240809_SIA_Batch1_1006.raw",23.4329206402464
"Batch1","X20240809_SIA_Batch1_1009.raw",24.497335535547
"Batch1","X20240809_SIA_Batch1_1016.raw",23.6497448285387
"Batch1","X20240809_SIA_Batch1_1048.raw",24.7440137364919
"Batch1","X20240809_SIA_Batch1_1062.raw",24.0089491196553
"Batch1","X20240809_SIA_Batch1_1069.raw",23.9181776399717
"Batch1","X20240809_SIA_Batch1_1101.raw",24.3016609883015
"Batch1","X20240809_SIA_Batch1_1102.raw",24.0511697426443
"Batch1","X20240809_SIA_Batch1_1111_2.raw",23.614289016453
"Batch1","X20240809_SIA_Batch1_1116.raw",24.215137997308
"Batch1","X20240809_SIA_Batch1_1126.raw",23.7529180007209
"Batch1","X20240809_SIA_Batch1_1130.raw",23.3977159239935
"Batch1","X20240809_SIA_Batch1_1137_2.raw",24.005407913623
"Batch1","X20240809_SIA_Batch1_1145_2.raw",23.9186720783181
"Batch1","X20240809_SIA_Batch1_1162.raw",23.8268645674423
"Batch1","X20240809_SIA_Batch1_1177.raw",23.2278890957454
"Batch1","X20240809_SIA_Batch1_1184.raw",24.2957734742571
"Batch1","X20240809_SIA_Batch1_2015_77.raw",24.0742548355303
"Batch1","X20240809_SIA_Batch1_24.raw",24.2306789587854
"Batch1","X20240809_SIA_Batch1_5.raw",21.9484581609563
"Batch1","X20240809_SIA_Batch1_92.raw",23.5758724574449
"Batch1","X20240809_SIA_Batch1_98.raw",23.472333258361
"Batch1","X20240809_SIA_Batch1_H21.raw",23.7634532257174
"Batch1","X20240809_SIA_Batch1_H22.raw",24.015280830071
"Batch1","X20240809_SIA_Batch1_H25.raw",24.000241387908
"Batch1","X20240809_SIA_Batch1_NC1.raw",24.1215927249409
"Batch10","X20240806_SIA_Batch10_1017.raw",24.3584146916299
"Batch10","X20240806_SIA_Batch10_102.raw",21.2914921296317
"Batch10","X20240806_SIA_Batch10_1022.raw",23.3358760372189
"Batch10","X20240806_SIA_Batch10_1032.raw",24.0804541277444
"Batch10","X20240806_SIA_Batch10_1038.raw",23.3878147489227
"Batch10","X20240806_SIA_Batch10_1064.raw",24.3828511922305
"Batch10","X20240806_SIA_Batch10_1074.raw",23.8898406731685
"Batch10","X20240806_SIA_Batch10_1086.raw",23.5853733918612
"Batch10","X20240806_SIA_Batch10_1092.raw",23.9345780073356
"Batch10","X20240806_SIA_Batch10_1107_2.raw",24.4886814043057
"Batch10","X20240806_SIA_Batch10_1113_2.raw",24.080886768814
"Batch10","X20240806_SIA_Batch10_1117_2.raw",23.8189612948602
"Batch10","X20240806_SIA_Batch10_1118.raw",23.7868181194067
"Batch10","X20240806_SIA_Batch10_1126_2.raw",24.5041680811336
"Batch10","X20240806_SIA_Batch10_1140.raw",24.0928774243552
"Batch10","X20240806_SIA_Batch10_1152.raw",24.2669884403943
"Batch10","X20240806_SIA_Batch10_1159.raw",23.8810459957451
"Batch10","X20240806_SIA_Batch10_1162_2.raw",23.6876495661626
"Batch10","X20240806_SIA_Batch10_1188.raw",23.9719420471369
"Batch10","X20240806_SIA_Batch10_2015_1087.raw",23.9886439656051
"Batch10","X20240806_SIA_Batch10_2017_9.raw",24.3225735832304
"Batch10","X20240806_SIA_Batch10_49.raw",23.2651687837269
"Batch10","X20240806_SIA_Batch10_55.raw",23.7780011011774
"Batch10","X20240806_SIA_Batch10_66.raw",23.3477618368435
"Batch10","X20240806_SIA_Batch10_69.raw",23.9817526115944
"Batch10","X20240806_SIA_Batch10_70.raw",23.8480978434283
"Batch10","X20240806_SIA_Batch10_73.raw",23.0416473279753
"Batch10","X20240806_SIA_Batch10_77.raw",23.8917683659119
"Batch10","X20240806_SIA_Batch10_H10.raw",24.0505466763891
"Batch10","X20240806_SIA_Batch10_H15.raw",23.8032984269072
"Batch10","X20240806_SIA_Batch10_H17.raw",23.4645123088128
"Batch10","X20240806_SIA_Batch10_NC19.raw",23.4033203182144
"Batch2","X20240721_SIA_Batch2_1010.raw",23.6132538359493
"Batch2","X20240721_SIA_Batch2_1039_2.raw",24.0972793375385
"Batch2","X20240721_SIA_Batch2_1049.raw",23.9757589833947
"Batch2","X20240721_SIA_Batch2_1052.raw",24.1124145304456
"Batch2","X20240721_SIA_Batch2_1053.raw",24.0323517117213
"Batch2","X20240721_SIA_Batch2_1057.raw",23.9221260132668
"Batch2","X20240721_SIA_Batch2_1070.raw",24.1003021678989
"Batch2","X20240721_SIA_Batch2_1071.raw",24.3475566519565
"Batch2","X20240721_SIA_Batch2_1100.raw",24.1852159850957
"Batch2","X20240721_SIA_Batch2_1106_2.raw",24.3493043733011
"Batch2","X20240721_SIA_Batch2_1108.raw",23.9453204235133
"Batch2","X20240721_SIA_Batch2_1110.raw",24.1351840523851
"Batch2","X20240721_SIA_Batch2_1144.raw",23.7234535518904
"Batch2","X20240721_SIA_Batch2_1153_2.raw",23.8648972375677
"Batch2","X20240721_SIA_Batch2_1156.raw",24.001986463329
"Batch2","X20240721_SIA_Batch2_1164_2.raw",23.7249912288946
"Batch2","X20240721_SIA_Batch2_1165.raw",23.8375199587458
"Batch2","X20240721_SIA_Batch2_1170.raw",24.1364957416033
"Batch2","X20240721_SIA_Batch2_1172_2.raw",23.9538369870078
"Batch2","X20240721_SIA_Batch2_1181.raw",24.2599048491161
"Batch2","X20240721_SIA_Batch2_1187.raw",23.1494862781928
"Batch2","X20240721_SIA_Batch2_2005_66.raw",23.0982863628922
"Batch2","X20240721_SIA_Batch2_27.raw",22.3058422441579
"Batch2","X20240721_SIA_Batch2_28.raw",23.8001242916024
"Batch2","X20240721_SIA_Batch2_40.raw",23.3079228358832
"Batch2","X20240721_SIA_Batch2_57.raw",23.4107861594894
"Batch2","X20240721_SIA_Batch2_65.raw",23.2230122502814
"Batch2","X20240721_SIA_Batch2_93.raw",22.843769209624
"Batch2","X20240721_SIA_Batch2_H2.raw",23.683358021757
