"variable","median_abundance"
"X20240808_SIA_Batch2_36.raw",20.5505918789582
"X20240729_SIA_Batch6_51.raw",21.6876892306695
"X20240801_SIA_Batch7_2.raw",21.9767628592593
"X20240806_SIA_Batch10_102.raw",22.0036121037329
"X20240729_SIA_Batch6_16.raw",22.1768378965501
"X20240809_SIA_Batch1_5.raw",22.581489330359
"X20240729_SIA_Batch6_58.raw",22.6085167705744
"X20240721_SIA_Batch2_27.raw",22.9368010252928
"X20240809_SIA_Batch1_1030.raw",23.0423665785608
"X20240801_SIA_Batch7_1112_2.raw",23.1356993493829
"X20240729_SIA_Batch6_2011_101.raw",23.1534626437952
"X20240808_SIA_Batch1_9.raw",23.1721068275472
"X20240808_SIA_Batch1_1030.raw",23.2860384305969
"X20240725_SIA_Batch4_97.raw",23.3593556213949
"X20240809_SIA_Batch1_100.raw",23.374974855265
"X20240801_SIA_Batch7_2010_11.raw",23.4162623534161
"X20240803_SIA_Batch8_NC6.raw",23.4463368278597
"X20240729_SIA_Batch6_NC3.raw",23.4729281335348
"X20240803_SIA_Batch8_19.raw",23.4841327236512
"X20240723_SIA_Batch3_NC5.raw",23.5400135091604
"X20240723_SIA_Batch3_44.raw",23.5418295713086
"X20240804_SIA_Batch9_39.raw",23.5673192998892
"X20240803_SIA_Batch8_87.raw",23.5896096748727
"X20240801_SIA_Batch7_NC8.raw",23.5991714897774
"X20240721_SIA_Batch2_93.raw",23.6272088231699
"X20240729_SIA_Batch6_42.raw",23.6426312205389
"X20240803_SIA_Batch8_23.raw",23.6475682627979
"X20240808_SIA_Batch1_43.raw",23.6584976062634
"X20240729_SIA_Batch6_54.raw",23.6624071546439
"X20240806_SIA_Batch10_73.raw",23.6630940171151
"X20240729_SIA_Batch6_1036.raw",23.6689729263638
"X20240723_SIA_Batch3_99.raw",23.6824303667913
"X20240723_SIA_Batch3_67.raw",23.749126838611
"X20240809_SIA_Batch1_1177.raw",23.7766648678598
"X20240727_SIA_Batch5_1147_2.raw",23.7975167084825
"X20240721_SIA_Batch2_2005_66.raw",23.8021730197497
"X20240806_SIA_Batch10_49.raw",23.819100317557
"X20240721_SIA_Batch2_1187.raw",23.896022387023
"X20240808_SIA_Batch1_100.raw",23.8964754166265
"X20240727_SIA_Batch5_85.raw",23.9235239972726
"X20240721_SIA_Batch2_65.raw",23.9236889068538
"X20240727_SIA_Batch5_NC4.raw",23.9369283496916
"X20240727_SIA_Batch5_34.raw",23.9446554866435
"X20240723_SIA_Batch3_1182.raw",23.9590745055977
"X20240729_SIA_Batch6_1034.raw",23.9664153723611
"X20240809_SIA_Batch1_1002.raw",23.9746395854706
"X20240806_SIA_Batch10_1022.raw",23.9847359525283
"X20240803_SIA_Batch8_NC9.raw",23.9877785456446
"X20240809_SIA_Batch1_1130.raw",24.0032906879943
"X20240803_SIA_Batch8_1176.raw",24.0118685790285
"X20240806_SIA_Batch10_66.raw",24.0126428913783
"X20240806_SIA_Batch10_NC19.raw",24.0128147168588
"X20240804_SIA_Batch9_18.raw",24.0138057931699
"X20240809_SIA_Batch1_1006.raw",24.016279361114
"X20240723_SIA_Batch3_NC17.raw",24.0240074248547
"X20240727_SIA_Batch5_1068.raw",24.0292844226839
"X20240727_SIA_Batch5_52.raw",24.0333106277406
"X20240723_SIA_Batch3_82.raw",24.0360230883156
"X20240804_SIA_Batch9_NC7.raw",24.0492296318041
"X20240721_SIA_Batch2_40.raw",24.0713188247569
"X20240809_SIA_Batch1_98.raw",24.0927986520208
"X20240725_SIA_Batch4_1130_2.raw",24.093807600262
"X20240803_SIA_Batch8_64.raw",24.1004145331905
"X20240806_SIA_Batch10_1038.raw",24.1012534751133
"X20240808_SIA_Batch1_90.raw",24.1086603128869
"X20240801_SIA_Batch7_1141.raw",24.1115314364361
"X20240721_SIA_Batch2_57.raw",24.1128772174863
"X20240803_SIA_Batch8_71.raw",24.1143225923712
"X20240806_SIA_Batch10_H17.raw",24.1195452497778
"X20240809_SIA_Batch1_92.raw",24.1293249973975
"X20240801_SIA_Batch7_45.raw",24.1377465851158
"X20240804_SIA_Batch9_1158_2.raw",24.1406686482094
"X20240729_SIA_Batch6_1085.raw",24.1464475072774
"X20240723_SIA_Batch3_88.raw",24.1521508808861
"X20240725_SIA_Batch4_1186.raw",24.1584064291273
"X20240801_SIA_Batch7_1136.raw",24.1652090820925
"X20240729_SIA_Batch6_86.raw",24.1688882845174
"X20240803_SIA_Batch8_1034_2.raw",24.1712672662931
"X20240808_SIA_Batch1_33.raw",24.1778963377232
"X20240725_SIA_Batch4_3.raw",24.1803628736928
"X20240729_SIA_Batch6_1119.raw",24.1983273223208
"X20240803_SIA_Batch8_101.raw",24.1991390366011
"X20240727_SIA_Batch5_1112.raw",24.2024256568572
"X20240725_SIA_Batch4_79.raw",24.2235345324417
"X20240801_SIA_Batch7_1027.raw",24.2249978652562
"X20240801_SIA_Batch7_76.raw",24.2302650652198
"X20240803_SIA_Batch8_1032_2.raw",24.232530858667
"X20240803_SIA_Batch8_1154_2.raw",24.2356855884191
"X20240729_SIA_Batch6_8.raw",24.2433298268007
"X20240809_SIA_Batch1_1111_2.raw",24.2455495387341
"X20240727_SIA_Batch5_1189.raw",24.2503510938581
"X20240801_SIA_Batch7_6.raw",24.2556964638604
"X20240801_SIA_Batch7_1175.raw",24.2574848561705
"X20240809_SIA_Batch1_1016.raw",24.2758175999872
"X20240806_SIA_Batch10_1086.raw",24.2853804624519
"X20240803_SIA_Batch8_84.raw",24.2866982580215
"X20240804_SIA_Batch9_H7.raw",24.2888744974473
"X20240723_SIA_Batch3_H13.raw",24.2927533570697
"X20240727_SIA_Batch5_1.raw",24.2935449509315
"X20240804_SIA_Batch9_1044.raw",24.2959156987937
"X20240727_SIA_Batch5_1145.raw",24.2988255191533
"X20240727_SIA_Batch5_1047.raw",24.3006666008032
"X20240801_SIA_Batch7_1142_2.raw",24.311821936488
"X20240806_SIA_Batch10_1162_2.raw",24.3139607577276
"X20240727_SIA_Batch5_4.raw",24.3183144654724
"X20240804_SIA_Batch9_1174.raw",24.3195075800955
"X20240804_SIA_Batch9_H18.raw",24.3322525575561
"X20240803_SIA_Batch8_2013_24.raw",24.335715035032
"X20240803_SIA_Batch8_11.raw",24.3365998924914
"X20240804_SIA_Batch9_NC2.raw",24.3401414562641
"X20240804_SIA_Batch9_61.raw",24.3405491018523
"X20240801_SIA_Batch7_1168.raw",24.3420989772479
"X20240723_SIA_Batch3_1161.raw",24.3435968674743
"X20240723_SIA_Batch3_14.raw",24.345176718483
"X20240801_SIA_Batch7_1135.raw",24.3510786342896
"X20240809_SIA_Batch1_1126.raw",24.3519530920262
"X20240721_SIA_Batch2_H2.raw",24.3524733523163
"X20240801_SIA_Batch7_H27.raw",24.3659229978318
"X20240809_SIA_Batch1_H21.raw",24.3711113664757
"X20240806_SIA_Batch10_55.raw",24.3714435967303
"X20240801_SIA_Batch7_21.raw",24.3727326745255
"X20240727_SIA_Batch5_80.raw",24.3746614178354
"X20240723_SIA_Batch3_72.raw",24.3864388556256
"X20240808_SIA_Batch1_1041.raw",24.3867425207463
"X20240803_SIA_Batch8_1121.raw",24.38828404403
"X20240804_SIA_Batch9_1155.raw",24.4027217552149
"X20240727_SIA_Batch5_1089.raw",24.4032871929848
"X20240809_SIA_Batch1_1003.raw",24.4055330150007
"X20240804_SIA_Batch9_1028.raw",24.4132099372002
"X20240801_SIA_Batch7_32.raw",24.4199285477174
"X20240721_SIA_Batch2_1164_2.raw",24.4256209780945
"X20240809_SIA_Batch1_1162.raw",24.4273354652341
"X20240723_SIA_Batch3_1119_2.raw",24.4279451146048
"X20240801_SIA_Batch7_1180.raw",24.4304606380378
"X20240803_SIA_Batch8_1114.raw",24.4332763485876
"X20240721_SIA_Batch2_NC14.raw",24.4353366931168
"X20240801_SIA_Batch7_1154.raw",24.4359101768763
"X20240806_SIA_Batch10_70.raw",24.4462032292276
"X20240803_SIA_Batch8_H6.raw",24.4479390118942
"X20240729_SIA_Batch6_1135_2.raw",24.4499995774674
"X20240803_SIA_Batch8_H14.raw",24.455437042305
"X20240727_SIA_Batch5_1046.raw",24.4609998050313
"X20240806_SIA_Batch10_1117_2.raw",24.463541419818
"X20240723_SIA_Batch3_H12.raw",24.4644411410505
"X20240727_SIA_Batch5_1144_2.raw",24.4678545641338
"X20240721_SIA_Batch2_1010.raw",24.4726435012497
"X20240729_SIA_Batch6_1128.raw",24.478213269213
"X20240806_SIA_Batch10_1118.raw",24.4786687493372
"X20240809_SIA_Batch1_1145_2.raw",24.4796651649867
"X20240803_SIA_Batch8_1079.raw",24.4831554310752
"X20240723_SIA_Batch3_2018_67.raw",24.4912609870131
"X20240809_SIA_Batch1_1069.raw",24.4988407880242
"X20240729_SIA_Batch6_1150.raw",24.5014700327605
"X20240804_SIA_Batch9_1163.raw",24.5032958102516
"X20240729_SIA_Batch6_1110_2.raw",24.5084989188816
"X20240808_SIA_Batch1_92.raw",24.5132161062264
"X20240803_SIA_Batch8_1128_2.raw",24.5165431742059
"X20240808_SIA_Batch1_NC16.raw",24.5193455900926
"X20240721_SIA_Batch2_1144.raw",24.5227069645365
"X20240806_SIA_Batch10_H15.raw",24.5230851060577
"X20240806_SIA_Batch10_1092.raw",24.5251484719018
"X20240809_SIA_Batch1_1062.raw",24.5265487055639
"X20240803_SIA_Batch8_1109.raw",24.5271577106755
"X20240723_SIA_Batch3_1143.raw",24.5336288753837
"X20240806_SIA_Batch10_77.raw",24.5337330919365
"X20240804_SIA_Batch9_1058.raw",24.533892868547
"X20240806_SIA_Batch10_1159.raw",24.5398979125152
"X20240729_SIA_Batch6_1008.raw",24.5404466493791
"X20240803_SIA_Batch8_1035.raw",24.5471025345454
"X20240723_SIA_Batch3_1098.raw",24.5472791276473
