biomolecule_id,UniqueID,standardized_name,LipidCategoty,LipidClass,MainClass,SubClass,NumFattyAcylCarbons,NumFattyAcylUnsaturations,AverageUnsaturations,UnsaturationLevel,omics_id,keep
38166,12.321_316.21974,AC 10:0_RTmz_12.321_316.21974,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,10,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38167,12.386_316.24797,AC 10:0_RTmz_12.386_316.24797,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,10,0,0,Very Low,2,1
38168,12.566_330.26391,AC 11:0_RTmz_12.566_330.26391,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,11,0,0,Very Low,2,1
38169,12.594_330.26385,AC 11:0_RTmz_12.594_330.26385,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,11,0,0,Very Low,2,0; LowPeakQualityScore
38170,12.771_330.26388,AC 11:0_RTmz_12.771_330.26388,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,11,0,0,Very Low,2,0; NA
38171,12.876_344.25093,AC 12:0_RTmz_12.876_344.25093,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,12,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38172,12.952_344.27921,AC 12:0_RTmz_12.952_344.27921,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,12,0,0,Very Low,2,1
38173,13.112_344.27927,AC 12:0_RTmz_13.112_344.27927,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,12,0,0,Very Low,2,1
38174,13.301_358.29514,AC 13:0_RTmz_13.301_358.29514,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,13,0,0,Very Low,2,1
38175,13.468_358.29486,AC 13:0_RTmz_13.468_358.29486,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,13,0,0,Very Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38176,13.81_372.31051,AC 14:0_RTmz_13.81_372.31051,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,14,0,0,Very Low,2,1
38177,12.994_386.28983,Unknown_RTmz_12.994_386.28983,NA,NA,NA,NA,NA,NA,NA,NA,2,1
38178,14.526_400.30577,AC 16:0_RTmz_14.526_400.30577,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,16,0,0,Very Low,2,0; NoLinearRangeFound
38179,14.541_400.3421,AC 16:0_RTmz_14.541_400.3421,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,16,0,0,Very Low,2,1
38180,15.271_428.37286,AC 18:0_RTmz_15.271_428.37286,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,0,0,Very Low,2,1
38181,13.415_370.29495,AC 14:1_RTmz_13.415_370.29495,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,14,1,1,Low,2,1
38182,13.621_370.29491,AC 14:1_RTmz_13.621_370.29491,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,14,1,1,Low,2,0; NA
38183,14.035_398.32607,AC 16:1_RTmz_14.035_398.32607,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,16,1,1,Low,2,1
38184,14.405_412.0972,AC 17:1_RTmz_14.405_412.0972,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,17,1,1,Low,2,0; NoLinearRangeFound
38185,14.547_426.26167,AC 18:1_RTmz_14.547_426.26167,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,1,1,Low,2,0; LowPeakQualityScore
38186,14.692_426.35747,AC 18:1_RTmz_14.692_426.35747,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,1,1,Low,2,1
38187,12.921_410.32621,AC 17:2_RTmz_12.921_410.32621,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,17,2,2,Medium,2,0; NoLinearRangeFound
38188,13.912_410.32649,AC 17:2_RTmz_13.912_410.32649,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,17,2,2,Medium,2,1
