biomolecule_id,UniqueID,standardized_name,RT,mz,Adduct,LipidCategory,LipidClass,MainClass,SubClass,NumFattyAcylCarbons,NumFattyAcylUnsaturations,AverageUnsaturations,UnsaturationLevel,omics_id,keep
38166,12.321_316.21974,AC 10:0_RTmz_12.321_316.21974,12.321,316.21974,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,10,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38167,12.386_316.24797,AC 10:0_RTmz_12.386_316.24797,12.386,316.24797,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,10,0,0,Very Low,2,1
38168,12.566_330.26391,AC 11:0_RTmz_12.566_330.26391,12.566,330.26391,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,11,0,0,Very Low,2,1
38169,12.594_330.26385,AC 11:0_RTmz_12.594_330.26385,12.594,330.26385,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,11,0,0,Very Low,2,0; LowPeakQualityScore
38170,12.771_330.26388,AC 11:0_RTmz_12.771_330.26388,12.771,330.26388,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,11,0,0,Very Low,2,0; NA
38171,12.876_344.25093,AC 12:0_RTmz_12.876_344.25093,12.876,344.25093,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,12,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38172,12.952_344.27921,AC 12:0_RTmz_12.952_344.27921,12.952,344.27921,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,12,0,0,Very Low,2,1
38173,13.112_344.27927,AC 12:0_RTmz_13.112_344.27927,13.112,344.27927,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,12,0,0,Very Low,2,1
38174,13.301_358.29514,AC 13:0_RTmz_13.301_358.29514,13.301,358.29514,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,13,0,0,Very Low,2,1
38175,13.468_358.29486,AC 13:0_RTmz_13.468_358.29486,13.468,358.29486000000003,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,13,0,0,Very Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38176,13.81_372.31051,AC 14:0_RTmz_13.81_372.31051,13.81,372.31051,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,14,0,0,Very Low,2,1
38177,12.994_386.28983,Unknown_RTmz_12.994_386.28983,12.994,386.28983,[M+H]+,NA,NA,NA,NA,NA,NA,NA,Unknown,2,1
38178,14.526_400.30577,AC 16:0_RTmz_14.526_400.30577,14.526,400.30577,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,16,0,0,Very Low,2,0; NoLinearRangeFound
38179,14.541_400.3421,AC 16:0_RTmz_14.541_400.3421,14.541,400.3421,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,16,0,0,Very Low,2,1
38180,15.271_428.37286,AC 18:0_RTmz_15.271_428.37286,15.271,428.37286,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,0,0,Very Low,2,1
