"biomolecule_id","UniqueID","standardized_name","omics_id","keep"
38166,"12.321_316.21974","AC 10:0_RTmz_12.321_316.21974",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38167,"12.386_316.24797","AC 10:0_RTmz_12.386_316.24797",2,"1"
38168,"12.566_330.26391","AC 11:0_RTmz_12.566_330.26391",2,"1"
38169,"12.594_330.26385","AC 11:0_RTmz_12.594_330.26385",2,"0; LowPeakQualityScore"
38170,"12.771_330.26388","AC 11:0_RTmz_12.771_330.26388",2,"0; NA"
38171,"12.876_344.25093","AC 12:0_RTmz_12.876_344.25093",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38172,"12.952_344.27921","AC 12:0_RTmz_12.952_344.27921",2,"1"
38173,"13.112_344.27927","AC 12:0_RTmz_13.112_344.27927",2,"1"
38174,"13.301_358.29514","AC 13:0_RTmz_13.301_358.29514",2,"1"
38175,"13.468_358.29486","AC 13:0_RTmz_13.468_358.29486",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38176,"13.81_372.31051","AC 14:0_RTmz_13.81_372.31051",2,"1"
38177,"12.994_386.28983","Unknown_RTmz_12.994_386.28983",2,"1"
38178,"14.526_400.30577","AC 16:0_RTmz_14.526_400.30577",2,"0; NoLinearRangeFound"
38179,"14.541_400.3421","AC 16:0_RTmz_14.541_400.3421",2,"1"
38180,"15.271_428.37286","AC 18:0_RTmz_15.271_428.37286",2,"1"
38181,"13.415_370.29495","AC 14:1_RTmz_13.415_370.29495",2,"1"
38182,"13.621_370.29491","AC 14:1_RTmz_13.621_370.29491",2,"0; NA"
38183,"14.035_398.32607","AC 16:1_RTmz_14.035_398.32607",2,"1"
38184,"14.405_412.0972","AC 17:1_RTmz_14.405_412.0972",2,"0; NoLinearRangeFound"
38185,"14.547_426.26167","AC 18:1_RTmz_14.547_426.26167",2,"0; LowPeakQualityScore"
38186,"14.692_426.35747","AC 18:1_RTmz_14.692_426.35747",2,"1"
38187,"12.921_410.32621","AC 17:2_RTmz_12.921_410.32621",2,"0; NoLinearRangeFound"
38188,"13.912_410.32649","AC 17:2_RTmz_13.912_410.32649",2,"1"
38189,"14.237_424.34181","AC 18:2_RTmz_14.237_424.34181",2,"1"
38190,"14.259_424.36294","AC 18:2_RTmz_14.259_424.36294",2,"0; NoLinearRangeFound"
38191,"14.539_424.34217","AC 18:2_RTmz_14.539_424.34217",2,"0; LowPeakQualityScore"
38192,"13.852_422.32615","AC 18:3_RTmz_13.852_422.32615",2,"0; NA"
38193,"14.091_422.32608","AC 18:3_RTmz_14.091_422.32608",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38194,"14.423_450.29789","AC 20:3_RTmz_14.423_450.29789",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38195,"14.503_450.35794","AC 20:3_RTmz_14.503_450.35794",2,"1"
38196,"35.868_810.79025","Alkanyl-TG O-16:0_16:0_16:0_RTmz_35.868_810.79025",2,"0; LowPeakQualityScore"
38197,"36.646_838.82153","Alkanyl-TG O-18:0_16:0_16:0_RTmz_36.646_838.82153",2,"0; LowPeakQualityScore"
38198,"35.766_836.61657","Alkanyl-TG O-50:1_RTmz_35.766_836.61657",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38199,"35.824_836.80573","Alkanyl-TG O-50:1_RTmz_35.824_836.80573",2,"1"
38200,"36.596_864.8373","Alkanyl-TG O-52:1_RTmz_36.596_864.8373",2,"1"
38201,"37.278_892.86868","Alkanyl-TG O-54:1_RTmz_37.278_892.86868",2,"1"
38202,"35.098_834.79025","Alkanyl-TG O-50:2_RTmz_35.098_834.79025",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38203,"35.771_862.82138","Alkenyl-TG P-52:1_RTmz_35.771_862.82138",2,"0; NA"
38204,"36.542_890.85305","Alkenyl-TG P-54:1_RTmz_36.542_890.85305",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38205,"35.066_860.80565","Alkenyl-TG P-52:2_RTmz_35.066_860.80565",2,"0; NA"
38206,"35.857_860.77091","Alkenyl-TG P-52:2_RTmz_35.857_860.77091",2,"0; HighRsd, LowPeakQualityScore"
38207,"33.305_586.5559","CE 12:0_RTmz_33.305_586.5559",2,"1"
38208,"34.26_614.58666","CE 14:0_RTmz_34.26_614.58666",2,"1"
38209,"34.561_628.60262","CE 15:0_RTmz_34.561_628.60262",2,"0; NoLinearRangeFound"
38210,"34.767_628.60264","CE 15:0_RTmz_34.767_628.60264",2,"1"
38211,"35.035_642.6177","CE 16:0_RTmz_35.035_642.6177",2,"0; NoLinearRangeFound"
38212,"35.276_642.61815","CE 16:0_RTmz_35.276_642.61815",2,"1"
38213,"35.539_656.63347","CE 17:0_RTmz_35.539_656.63347",2,"0; NA"
38214,"35.74_656.63358","CE 17:0_RTmz_35.74_656.63358",2,"1"
38215,"35.668_670.64907","CE 18:0_RTmz_35.668_670.64907",2,"0; LowPeakQualityScore"
38216,"35.868_670.64883","CE 18:0_RTmz_35.868_670.64883",2,"0; LowPeakQualityScore"
38217,"36.204_670.64916","CE 18:0_RTmz_36.204_670.64916",2,"1"
38218,"36.166_698.60775","CE 20:0_RTmz_36.166_698.60775",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38219,"36.451_698.60793","CE 20:0_RTmz_36.451_698.60793",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38220,"36.753_698.60833","CE 20:0_RTmz_36.753_698.60833",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38221,"36.928_698.60814","CE 20:0_RTmz_36.928_698.60814",2,"0; HighRsd, LowPeakQualityScore"
38222,"37.067_698.68078","CE 20:0_RTmz_37.067_698.68078",2,"1"
