rawfile_name_R,rawfile_name,rawfile_id,sample_id,sample,run_type,DilutionConcentration,batch,ome_id,keep,timestamp
X20240721_SIA_Batch2_1010.raw,20240721_SIA_Batch2_1010.raw,998,110,1010,Sample,NA,2,2,1,27:52.4
X20240721_SIA_Batch2_1039_2.raw,20240721_SIA_Batch2_1039_2.raw,1149,334,1139.2,Sample,NA,2,2,1,45:01.0
X20240721_SIA_Batch2_1049.raw,20240721_SIA_Batch2_1049.raw,1028,148,1049,Sample,NA,2,2,1,11:13.6
X20240721_SIA_Batch2_1052.raw,20240721_SIA_Batch2_1052.raw,1029,151,1052,Sample,NA,2,2,1,26:02.8
X20240721_SIA_Batch2_1053.raw,20240721_SIA_Batch2_1053.raw,1030,152,1053,Sample,NA,2,2,1,44:23.9
X20240721_SIA_Batch2_1057.raw,20240721_SIA_Batch2_1057.raw,1114,255,1157,Sample,NA,2,2,1,25:27.6
X20240721_SIA_Batch2_1070.raw,20240721_SIA_Batch2_1070.raw,1044,169,1070,Sample,NA,2,2,1,46:11.3
X20240721_SIA_Batch2_1071.raw,20240721_SIA_Batch2_1071.raw,1045,170,1071,Sample,NA,2,2,1,43:46.7
X20240721_SIA_Batch2_1100.raw,20240721_SIA_Batch2_1100.raw,1065,199,1100,Sample,NA,2,2,1,45:36.2
X20240721_SIA_Batch2_1106_2.raw,20240721_SIA_Batch2_1106_2.raw,1153,338,1106.2,Sample,NA,2,2,1,11:50.9
X20240721_SIA_Batch2_1108.raw,20240721_SIA_Batch2_1108.raw,1072,207,1108,Sample,NA,2,2,1,01:33.7
X20240721_SIA_Batch2_1110.raw,20240721_SIA_Batch2_1110.raw,1074,209,1110,Sample,NA,2,2,1,07:39.1
X20240721_SIA_Batch2_1144.raw,20240721_SIA_Batch2_1144.raw,1102,242,1144,Sample,NA,2,2,1,26:40.0
X20240721_SIA_Batch2_1153_2.raw,20240721_SIA_Batch2_1153_2.raw,1188,373,1153.2,Sample,NA,2,2,1,08:14.1
X20240721_SIA_Batch2_1156.raw,20240721_SIA_Batch2_1156.raw,1113,254,1156,Sample,NA,2,2,1,28:27.6
X20240721_SIA_Batch2_1164_2.raw,20240721_SIA_Batch2_1164_2.raw,1193,378,1164.2,Sample,NA,2,2,1,12:28.1
X20240721_SIA_Batch2_1165.raw,20240721_SIA_Batch2_1165.raw,1122,263,1165,Sample,NA,2,2,1,02:10.9
X20240721_SIA_Batch2_1170.raw,20240721_SIA_Batch2_1170.raw,1127,268,1170,Sample,NA,2,2,1,46:48.4
X20240721_SIA_Batch2_1172_2.raw,20240721_SIA_Batch2_1172_2.raw,1195,380,1172.2,Sample,NA,2,2,1,27:17.3
X20240721_SIA_Batch2_1181.raw,20240721_SIA_Batch2_1181.raw,1138,279,1181,Sample,NA,2,2,1,24:50.4
X20240721_SIA_Batch2_1187.raw,20240721_SIA_Batch2_1187.raw,1144,285,1187,Sample,NA,2,2,1,09:26.3
X20240721_SIA_Batch2_2005_66.raw,20240721_SIA_Batch2_2005_66.raw,1197,319,2005.66,Sample,NA,2,2,1,02:46.2
X20240721_SIA_Batch2_27.raw,20240721_SIA_Batch2_27.raw,928,26,27,Sample,NA,2,2,1,59:09.4
