rawfile_name,rawfile_id,sample_id,rawfile_name_R,sample,run_type,DilutionConcentration,batch,RunOrder,ome_id,keep,timestamp
20240721_SIA_Batch2_1010.raw,998,110,X20240721_SIA_Batch2_1010.raw,1010,Sample,NA,2,22,2,1,27:52.4
20240721_SIA_Batch2_1039_2.raw,1149,334,X20240721_SIA_Batch2_1039_2.raw,1139.2,Sample,NA,2,13,2,1,45:01.0
20240721_SIA_Batch2_1049.raw,1028,148,X20240721_SIA_Batch2_1049.raw,1049,Sample,NA,2,32,2,1,11:13.6
20240721_SIA_Batch2_1052.raw,1029,151,X20240721_SIA_Batch2_1052.raw,1052,Sample,NA,2,25,2,1,26:02.8
20240721_SIA_Batch2_1053.raw,1030,152,X20240721_SIA_Batch2_1053.raw,1053,Sample,NA,2,14,2,1,44:23.9
20240721_SIA_Batch2_1057.raw,1114,255,X20240721_SIA_Batch2_1057.raw,1157,Sample,NA,2,26,2,1,25:27.6
20240721_SIA_Batch2_1070.raw,1044,169,X20240721_SIA_Batch2_1070.raw,1070,Sample,NA,2,11,2,1,46:11.3
20240721_SIA_Batch2_1071.raw,1045,170,X20240721_SIA_Batch2_1071.raw,1071,Sample,NA,2,15,2,1,43:46.7
20240721_SIA_Batch2_1100.raw,1065,199,X20240721_SIA_Batch2_1100.raw,1100,Sample,NA,2,12,2,1,45:36.2
20240721_SIA_Batch2_1106_2.raw,1153,338,X20240721_SIA_Batch2_1106_2.raw,1106.2,Sample,NA,2,31,2,1,11:50.9
20240721_SIA_Batch2_1108.raw,1072,207,X20240721_SIA_Batch2_1108.raw,1108,Sample,NA,2,4,2,1,01:33.7
20240721_SIA_Batch2_1110.raw,1074,209,X20240721_SIA_Batch2_1110.raw,1110,Sample,NA,2,36,2,1,07:39.1
20240721_SIA_Batch2_1144.raw,1102,242,X20240721_SIA_Batch2_1144.raw,1144,Sample,NA,2,24,2,1,26:40.0
20240721_SIA_Batch2_1153_2.raw,1188,373,X20240721_SIA_Batch2_1153_2.raw,1153.2,Sample,NA,2,35,2,1,08:14.1
20240721_SIA_Batch2_1156.raw,1113,254,X20240721_SIA_Batch2_1156.raw,1156,Sample,NA,2,21,2,1,28:27.6
20240721_SIA_Batch2_1164_2.raw,1193,378,X20240721_SIA_Batch2_1164_2.raw,1164.2,Sample,NA,2,30,2,1,12:28.1
20240721_SIA_Batch2_1165.raw,1122,263,X20240721_SIA_Batch2_1165.raw,1165,Sample,NA,2,3,2,1,02:10.9
20240721_SIA_Batch2_1170.raw,1127,268,X20240721_SIA_Batch2_1170.raw,1170,Sample,NA,2,10,2,1,46:48.4
20240721_SIA_Batch2_1172_2.raw,1195,380,X20240721_SIA_Batch2_1172_2.raw,1172.2,Sample,NA,2,23,2,1,27:17.3
20240721_SIA_Batch2_1181.raw,1138,279,X20240721_SIA_Batch2_1181.raw,1181,Sample,NA,2,27,2,1,24:50.4
20240721_SIA_Batch2_1187.raw,1144,285,X20240721_SIA_Batch2_1187.raw,1187,Sample,NA,2,34,2,1,09:26.3
20240721_SIA_Batch2_2005_66.raw,1197,319,X20240721_SIA_Batch2_2005_66.raw,2005.66,Sample,NA,2,2,2,1,02:46.2
20240721_SIA_Batch2_27.raw,928,26,X20240721_SIA_Batch2_27.raw,27,Sample,NA,2,7,2,1,59:09.4
20240721_SIA_Batch2_28.raw,929,27,X20240721_SIA_Batch2_28.raw,28,Sample,NA,2,20,2,1,29:03.0
20240721_SIA_Batch2_40.raw,937,39,X20240721_SIA_Batch2_40.raw,40,Sample,NA,2,18,2,1,42:02.9
