rawfile_id,timestamp,rawfile_name,sample_id,run_type,keep,batch,ome_id,Sample
1,1718217228.59816,20240612_WFB_Plate_01_QC_01,-1,QC,1,1,1,QC
2,1718220983.69358,20240612_WFB_Plate_01_1030_NPA,130,Sample,1,1,1,1030
3,1718225127.38961,20240612_WFB_Plate_01_1016_NPA,116,Sample,1,1,1,1016
4,1718228878.65704,20240612_WFB_Plate_01_43_NPA,42,Sample,1,1,1,43
5,1718232631.894,20240612_WFB_Plate_01_2015-77_NPA,328,Sample,1,1,1,2015.77
6,1718236383.9166,20240612_WFB_Plate_01_1137-2_NPA,361,Sample,1,1,1,1137.2
7,1718240137.94364,20240612_WFB_Plate_01_1002_NPA,102,Sample,1,1,1,1002
8,1718243885.65444,20240612_WFB_Plate_01_92_NPA,90,Sample,1,1,1,92
9,1718247635.40694,20240612_WFB_Plate_01_1184_NPA,282,Sample,1,1,1,1184
10,1718251387.03425,20240612_WFB_Plate_01_33_NPA,32,Sample,1,1,1,33
11,1718255136.80572,20240612_WFB_Plate_01_1162_NPA,260,Sample,1,1,1,1162
12,1718258882.33659,20240612_WFB_Plate_01_100_NPA,98,Sample,1,1,1,100
13,1718262627.92263,20240612_WFB_Plate_01_1101_NPA,200,Sample,1,1,1,1101
14,1718266371.73187,20240612_WFB_Plate_01_1041_NPA,141,Sample,1,1,1,1041
15,1718270115.64906,20240612_WFB_Plate_01_50_NPA,49,Sample,1,1,1,50
16,1718273862.8808,20240612_WFB_Plate_01_1109-2_NPA,341,Sample,1,1,1,1109.2
17,1718277608.38547,20240612_WFB_Plate_01_H25_NPA,312,Sample,1,1,1,H25
18,1718281350.28461,20240612_WFB_Plate_01_1062_NPA,161,Sample,1,1,1,1062
19,1718285093.80942,20240612_WFB_Plate_01_1104_NPA,203,Sample,1,1,1,1104
20,1718288839.78428,20240612_WFB_Plate_01_1126_NPA,225,Sample,1,1,1,1126
21,1718292585.21253,20240612_WFB_Plate_01_9_NPA,9,Sample,1,1,1,9
22,1718296013.25879,20240612_WFB_Plate_01_QC_02,-1,QC,1,1,1,QC
23,1718299758.95339,20240612_WFB_Plate_01_1145-2_NPA,367,Sample,1,1,1,1145.2
24,1718303500.62357,20240612_WFB_Plate_01_98_NPA,96,Sample,1,1,1,98
25,1718307242.28817,20240612_WFB_Plate_01_1177_NPA,275,Sample,1,1,1,1177
26,1718310983.64162,20240612_WFB_Plate_01_90_NPA,88,Sample,1,1,1,90
27,1718314727.64914,20240612_WFB_Plate_01_1111-2_NPA,343,Sample,1,1,1,1111.2
28,1718318469.5744,20240612_WFB_Plate_01_24_NPA,23,Sample,1,1,1,24
29,1718322209.06498,20240612_WFB_Plate_01_1003_NPA,103,Sample,1,1,1,1003
30,1718325948.25504,20240612_WFB_Plate_01_1048_NPA,147,Sample,1,1,1,1048
31,1718329688.37685,20240612_WFB_Plate_01_NC1_NPA,381,Sample,1,1,1,NC1
32,1718333428.00351,20240612_WFB_Plate_01_1130_NPA,229,Sample,1,1,1,1130
33,1718337169.72527,20240612_WFB_Plate_01_H21_NPA,308,Sample,1,1,1,H21
34,1718340913.37278,20240612_WFB_Plate_01_1069_NPA,168,Sample,1,1,1,1069
35,1718344653.06504,20240612_WFB_Plate_01_2012-7_NPA,326,Sample,1,1,1,2012.7
36,1718348394.83045,20240612_WFB_Plate_01_1006_NPA,106,Sample,1,1,1,1006
37,1718352134.55527,20240612_WFB_Plate_01_1102_NPA,201,Sample,1,1,1,1102
38,1718355874.36632,20240612_WFB_Plate_01_1116_NPA,215,Sample,1,1,1,1116
39,1718359615.90328,20240612_WFB_Plate_01_NC16_NPA,396,Sample,1,1,1,NC16
40,1718363357.71616,20240612_WFB_Plate_01_H22_NPA,309,Sample,1,1,1,H22
41,1718367096.85329,20240612_WFB_Plate_01_1009_NPA,109,Sample,1,1,1,1009
42,1718370835.10258,20240612_WFB_Plate_01_5_NPA,5,Sample,1,1,1,5
43,1718374265.06118,20240612_WFB_Plate_01_QC_03,-1,QC,1,1,1,QC
44,1718378004.25745,20240612_WFB_Plate_01_1030_NPB,130,Sample,1,1,1,1030
45,1718381745.41561,20240612_WFB_Plate_01_1016_NPB,116,Sample,1,1,1,1016
46,1718385489.12832,20240612_WFB_Plate_01_43_NPB,42,Sample,1,1,1,43
47,1718389229.32843,20240612_WFB_Plate_01_2015-77_NPB,328,Sample,1,1,1,2015.77
48,1718392967.32493,20240612_WFB_Plate_01_1137-2_NPB,361,Sample,1,1,1,1137.2
49,1718396708.52575,20240612_WFB_Plate_01_1002_NPB,102,Sample,1,1,1,1002
50,1718400448.2604,20240612_WFB_Plate_01_92_NPB,90,Sample,1,1,1,92
51,1718404187.55932,20240612_WFB_Plate_01_1184_NPB,282,Sample,1,1,1,1184
52,1718407927.24114,20240612_WFB_Plate_01_33_NPB,32,Sample,1,1,1,33
53,1718411667.44206,20240612_WFB_Plate_01_1162_NPB,260,Sample,1,1,1,1162
54,1718415406.89979,20240612_WFB_Plate_01_100_NPB,98,Sample,1,1,1,100
55,1718419146.92817,20240612_WFB_Plate_01_1101_NPB,200,Sample,1,1,1,1101
56,1718422887.35142,20240612_WFB_Plate_01_1041_NPB,141,Sample,1,1,1,1041
57,1718426628.7343,20240612_WFB_Plate_01_50_NPB,49,Sample,1,1,1,50
58,1718430370.13487,20240612_WFB_Plate_01_1109-2_NPB,341,Sample,1,1,1,1109.2
59,1718434107.87108,20240612_WFB_Plate_01_H25_NPB,312,Sample,1,1,1,H25
60,1718437847.17979,20240612_WFB_Plate_01_1062_NPB,161,Sample,1,1,1,1062
