"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"85","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_PC1.raw",6582135948,FALSE,666,2024-06-16 05:41:00.1509,2024-06-16 12:04:59.348989,2024-06-26 08:54:49.723965,"no","20240612_WFB_Plate_01_PC1",1,"Plate_01_PC1"
"82","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_DC.raw",6200701227,FALSE,666,2024-06-16 06:43:19.710327,2024-06-16 12:02:52.327751,2024-06-24 14:21:23.459423,"no","20240612_WFB_Plate_01_DC",2,"Plate_01_DC"
"83","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_MPE.raw",6605880814,FALSE,666,2024-06-16 07:45:39.039461,2024-06-16 12:00:38.37175,2024-06-24 14:22:24.148149,"no","20240612_WFB_Plate_01_MPE",3,"Plate_01_MPE"
"86","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_PC2.raw",6701217682,FALSE,666,2024-06-16 08:47:57.083229,2024-06-16 11:59:39.851542,2024-06-24 14:25:13.880825,"no","20240612_WFB_Plate_01_PC2",4,"Plate_01_PC2"
"84","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_MSControl.raw",2905221040,FALSE,666,2024-06-16 09:50:36.630239,2024-06-16 12:07:03.289997,2024-06-24 14:23:35.224779,"no","20240612_WFB_Plate_01_MSControl",5,"Plate_01_MSControl"
"176","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_PC1.raw",7262434881,FALSE,666,2024-06-20 03:43:39.401503,2024-06-20 21:05:56.617893,2024-06-24 11:21:23.137478,"no","20240615_WFB_Plate_02_PC1",6,"Plate_02_PC1"
"173","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_DC.raw",5967313654,FALSE,666,2024-06-20 04:46:00.685921,2024-06-20 09:08:26.877716,2024-06-24 14:17:17.215969,"no","20240615_WFB_Plate_02_DC",7,"Plate_02_DC"
"174","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_MPE.raw",6224936990,FALSE,666,2024-06-20 05:48:22.1936,2024-06-20 09:06:40.894306,2024-06-24 14:19:21.253792,"no","20240615_WFB_Plate_02_MPE",8,"Plate_02_MPE"
"177","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_PC2.raw",6942783311,FALSE,666,2024-06-20 06:50:45.698362,2024-06-20 09:04:42.342632,2024-06-24 11:21:21.008991,"no","20240615_WFB_Plate_02_PC2",9,"Plate_02_PC2"
"175","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_MSControl.raw",2976079801,FALSE,666,2024-06-20 07:53:35.570513,2024-06-20 09:03:32.268318,2024-06-24 14:21:29.0527,"no","20240615_WFB_Plate_02_MSControl",10,"Plate_02_MSControl"
"267","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_PC1.raw",8204261138,FALSE,666,2024-06-26 01:46:24.634146,2024-06-26 08:52:07.064995,2024-07-02 10:05:55.05341,"no","20240620_WFB_Plate_03_PC1",11,"Plate_03_PC1"
"264","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_DC.raw",7721349495,FALSE,666,2024-06-26 02:49:06.698814,2024-06-26 08:51:00.940142,2024-07-02 10:02:27.464325,"no","20240620_WFB_Plate_03_DC",12,"Plate_03_DC"
"265","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_MPE.raw",8291119322,FALSE,666,2024-06-26 03:51:44.61507,2024-06-26 08:49:20.415056,2024-07-02 10:03:48.208382,"no","20240620_WFB_Plate_03_MPE",13,"Plate_03_MPE"
"268","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_PC2.raw",8682323999,FALSE,666,2024-06-26 04:54:24.254311,2024-06-26 08:46:52.547752,2024-07-02 10:07:22.740244,"no","20240620_WFB_Plate_03_PC2",14,"Plate_03_PC2"
"266","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_MSControl.raw",3707616915,FALSE,666,2024-06-26 05:57:32.346025,2024-06-26 08:45:49.675217,2024-07-02 10:05:15.649683,"no","20240620_WFB_Plate_03_MSControl",15,"Plate_03_MSControl"
"359","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_PC1.raw",6905183432,FALSE,666,2024-06-30 05:12:30.522394,2024-06-30 10:53:12.06431,2024-07-02 13:31:18.775883,"no","20240626_WFB_Plate_04_PC1",16,"Plate_04_PC1"
"356","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_DC.raw",7755267955,FALSE,666,2024-06-30 06:15:12.267431,2024-06-30 10:50:32.715935,2024-07-02 10:43:41.057379,"no","20240626_WFB_Plate_04_DC",17,"Plate_04_DC"
"357","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_MPE.raw",8166238725,FALSE,666,2024-06-30 07:17:52.121035,2024-06-30 10:48:15.288637,2024-07-02 10:43:26.588089,"no","20240626_WFB_Plate_04_MPE",18,"Plate_04_MPE"
"360","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_PC2.raw",8009725943,FALSE,666,2024-06-30 08:20:30.899723,2024-06-30 10:46:01.057919,2024-07-02 13:32:44.879988,"no","20240626_WFB_Plate_04_PC2",19,"Plate_04_PC2"
"358","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_MSControl.raw",3735983260,FALSE,666,2024-06-30 09:23:38.619345,2024-06-30 10:44:57.611362,2024-07-02 13:30:36.532457,"no","20240626_WFB_Plate_04_MSControl",20,"Plate_04_MSControl"
