"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"87","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_QC_01.raw",7043562294,FALSE,666,2024-06-12 13:33:48.598156,2024-06-12 13:36:46.157547,2024-06-26 16:05:09.350142,"no","20240612_WFB_Plate_01_QC_01",1,"Plate_01_QC_01"
"88","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_QC_02.raw",6608544928,FALSE,666,2024-06-13 11:26:53.258795,2024-06-13 12:44:58.872265,2024-06-26 16:05:19.059681,"no","20240612_WFB_Plate_01_QC_02",2,"Plate_01_QC_02"
"89","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_QC_03.raw",6274001802,FALSE,666,2024-06-14 09:11:05.061184,2024-06-15 17:40:55.443542,2024-06-26 16:05:27.453962,"no","20240612_WFB_Plate_01_QC_03",3,"Plate_01_QC_03"
"90","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_QC_04.raw",6339571640,FALSE,666,2024-06-15 06:54:58.111336,2024-06-15 17:41:49.714481,2024-06-26 16:05:06.933929,"no","20240612_WFB_Plate_01_QC_04",4,"Plate_01_QC_04"
"91","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/QCs/20240612_WFB_Plate_01_QC_05.raw",6022379905,FALSE,666,2024-06-16 04:38:38.9676,2024-06-16 12:01:20.223709,2024-06-26 16:06:13.05497,"no","20240612_WFB_Plate_01_QC_05",5,"Plate_01_QC_05"
"178","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_QC_01.raw",6276162501,FALSE,666,2024-06-16 11:44:54.361248,2024-06-16 12:17:27.592022,2024-06-26 16:05:26.917942,"no","20240615_WFB_Plate_02_QC_01",6,"Plate_02_QC_01"
"179","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_QC_02.raw",6887751162,FALSE,666,2024-06-17 09:29:47.335484,2024-06-17 11:34:21.046276,2024-06-26 16:05:45.090643,"no","20240615_WFB_Plate_02_QC_02",7,"Plate_02_QC_02"
"180","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_QC_03.raw",6566050066,FALSE,666,2024-06-18 07:13:53.618664,2024-06-18 11:22:04.574009,2024-06-26 16:05:23.117792,"no","20240615_WFB_Plate_02_QC_03",8,"Plate_02_QC_03"
"181","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_QC_04.raw",6212928025,FALSE,666,2024-06-19 04:57:46.314068,2024-06-19 10:09:53.323683,2024-06-26 16:05:24.22263,"no","20240615_WFB_Plate_02_QC_04",9,"Plate_02_QC_04"
"182","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/QCs/20240615_WFB_Plate_02_QC_05.raw",5986378632,FALSE,666,2024-06-20 02:41:19.610201,2024-06-20 09:02:42.127657,2024-06-26 16:07:00.706614,"no","20240615_WFB_Plate_02_QC_05",10,"Plate_02_QC_05"
