"","Sample","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","Set","Observation"
"1","1","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/Samples/20240630_WFB_Plate_05_1_NPB.raw",7632457068,FALSE,666,2024-07-02 09:04:20.105131,2024-07-02 23:14:05.97846,2024-07-30 03:25:21.044058,"no","20240630_WFB_Plate_05_1_NPB","Acute","Viscous"
"2","10","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/Samples/20240626_WFB_Plate_04_10_NPB.raw",8345951435,FALSE,666,2024-06-29 20:56:32.865137,2024-06-29 23:47:24.843863,2024-07-30 00:26:42.152071,"no","20240626_WFB_Plate_04_10_NPB","Acute","Viscous"
"3","100","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_100_NPB.raw",6662149876,FALSE,666,2024-06-14 20:36:46.899788,2024-06-15 18:12:10.373198,2024-07-29 19:00:49.045362,"no","20240612_WFB_Plate_01_100_NPB","Acute",""
"4","1001","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1001_NPB.raw",9809922775,FALSE,666,2024-07-20 03:14:22.555182,2024-07-20 16:49:57.051418,2024-08-02 12:31:52.185625,"no","20240716_WFB_Plate_09_1001_NPB","PASC",""
"5","1002","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1002_NPB.raw",6743065980,FALSE,666,2024-06-14 15:25:08.525751,2024-06-15 18:22:36.618805,2024-07-29 18:52:29.477297,"no","20240612_WFB_Plate_01_1002_NPB","PASC",""
"6","1003","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1003_NPB.raw",7070730835,FALSE,666,2024-06-15 14:11:14.806118,2024-06-15 17:53:24.755178,2024-07-29 18:54:30.524429,"no","20240612_WFB_Plate_01_1003_NPB","PASC",""
"7","1004","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1004_NPB.raw",10043943649,FALSE,666,2024-07-12 01:15:06.154018,2024-07-12 09:45:07.740814,2024-07-29 16:36:15.81715,"no","20240708_WFB_Plate_07_1004_NPB","PASC","Cloudy"
"8","1005","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/Samples/20240626_WFB_Plate_04_1005_NPB.raw",8537966615,FALSE,666,2024-06-29 12:35:01.175354,2024-06-29 23:57:05.436705,2024-07-30 00:06:52.400999,"no","20240626_WFB_Plate_04_1005_NPB","PASC",""
"9","1006","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1006_NPB.raw",6379305750,FALSE,666,2024-06-15 21:27:35.862911,2024-06-16 12:14:55.918015,2024-07-29 18:56:38.980963,"no","20240612_WFB_Plate_01_1006_NPB","PASC",""
"10","1007","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/Samples/20240630_WFB_Plate_05_1007_NPB.raw",7670906601,FALSE,666,2024-07-03 15:16:50.677101,2024-07-04 09:24:21.367363,2024-07-30 02:19:01.359999,"no","20240630_WFB_Plate_05_1007_NPB","PASC",""
"11","1008","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1008_NPB.raw",9433831939,FALSE,666,2024-07-07 21:38:40.891363,2024-07-08 09:47:29.790104,2024-07-30 04:20:40.59701,"no","20240704_WFB_Plate_06_1008_NPB","PASC",""
"12","1009","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1009_NPB.raw",6469199471,FALSE,666,2024-06-16 02:39:17.200834,2024-06-16 12:09:50.531122,2024-07-29 18:58:39.529207,"no","20240612_WFB_Plate_01_1009_NPB","PASC",""
"13","101","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_101_NPB.raw",11803732356,FALSE,666,2024-07-29 04:40:27.12587,2024-07-30 00:17:48.74329,2024-08-05 12:02:22.717417,"no","20240726_WFB_Plate_08_101_NPB","Acute","Reddish"
